"","player_name","player_age","player_pos","team_name","minutes_played","contract_until","league"
"1","Adam Chojecki",19,"Defensive Midfield","Korona Kielce",10,"30.06.2026","PKO BP Ekstraklasa"
"2","Adam Debinski",20,"Left-Back","KKS 1925 Kalisz",0,"-","Betclic 2 Liga"
"3","Adam Deja",31,"Defensive Midfield","Gornik Leczna",597,"30.06.2025","Betclic 1 Liga"
"4","Adam Fojcik",20,"Centre-Back","GKS Jastrzebie",0,"-","Betclic 2 Liga"
"5","Adam Galazka",19,"Left Midfield","Wisla Pulawy",520,"30.06.2025","Betclic 2 Liga"
"6","Adam Imiela",31,"Attacking Midfield","Stal Stalowa Wola",409,"30.06.2025","Betclic 1 Liga"
"7","Adam Kardas",18,"Defensive Midfield","Lechia Gdansk",0,"31.12.2025","PKO BP Ekstraklasa"
"8","Adam Ladziak",27,"Attacking Midfield","Swit Szczecin",28,"30.06.2025","Betclic 2 Liga"
"9","Adam Lewkowski",20,"Centre-Back","Pogon Siedlce",0,"-","Betclic 1 Liga"
"10","Adam Matysek",17,"Goalkeeper","Zaglebie Lubin II",0,"-","Betclic 2 Liga"
"11","Adam Radwanski",26,"Attacking Midfield","Zaglebie Lubin",217,"30.06.2026","PKO BP Ekstraklasa"
"12","Adam Ratajczyk",22,"Right Winger","Arka Gdynia",49,"30.06.2026","Betclic 1 Liga"
"13","Adam Rychter",17,"Attack","Olimpia Elblag",61,"-","Betclic 2 Liga"
"14","Adam Sendor",17,"Defensive Midfield","Puszcza Niepolomice",0,"-","PKO BP Ekstraklasa"
"15","Adam Wilk",26,"Goalkeeper","Stal Stalowa Wola",630,"30.06.2025","Betclic 1 Liga"
"16","Adam Wojcik",19,"Goalkeeper","Odra Opole",0,"30.06.2025","Betclic 1 Liga"
"17","Adam Zrelak",30,"Centre-Forward","GKS Katowice",524,"30.06.2026","PKO BP Ekstraklasa"
"18","Adnan Kovacevic",30,"Centre-Back","Raków Częstochowa",0,"30.06.2025","PKO BP Ekstraklasa"
"19","Adrian Blad",33,"Attacking Midfield","GKS Katowice",452,"30.06.2026","PKO BP Ekstraklasa"
"20","Adrian Bukowski",21,"Defensive Midfield","Stal Mielec",115,"30.06.2026","PKO BP Ekstraklasa"
"21","Adrian Chelinski",21,"Defender","Skra Czestochowa",0,"-","Betclic 2 Liga"
"22","Adrian Chovan",28,"Goalkeeper","Bruk-Bet Termalica Nieciecza",720,"-","Betclic 1 Liga"
"23","Adrian Cierpka",29,"Defensive Midfield","KKS 1925 Kalisz",432,"30.06.2024","Betclic 2 Liga"
"24","Adrián Dalmau",30,"Centre-Forward","Korona Kielce",415,"30.06.2025","PKO BP Ekstraklasa"
"25","Adrian Danek",30,"Right Midfield","GKS Katowice",0,"30.06.2025","PKO BP Ekstraklasa"
"26","Adrián Diéguez",28,"Centre-Back","Jagiellonia Bialystok",790,"30.06.2025","PKO BP Ekstraklasa"
"27","Adrian Kacerik",27,"Left Winger","Chojniczanka Chojnice",506,"30.06.2026","Betclic 2 Liga"
"28","Adrian Kazimierczak",19,"Right Midfield","Znicz Pruszkow",27,"-","Betclic 1 Liga"
"29","Adrian Klimczak",27,"Left Midfield","Olimpia Grudziadz",0,"-","Betclic 2 Liga"
"30","Adrian Kostrzewski",26,"Goalkeeper","Gornik Leczna",496,"30.06.2025","Betclic 1 Liga"
"31","Adrian Lyszczarz",25,"Attacking Midfield","Odra Opole",590,"30.06.2026","Betclic 1 Liga"
"32","Adrian Piekarski",26,"Centre-Back","Polonia Bytom",720,"30.06.2025","Betclic 2 Liga"
"33","Adrian Przyborek",17,"Attacking Midfield","Pogon Szczecin",212,"30.06.2027","PKO BP Ekstraklasa"
"34","Adrian Purzycki",27,"Defensive Midfield","Odra Opole",524,"30.06.2025","Betclic 1 Liga"
"35","Adrian Sandach",20,"Goalkeeper","Swit Szczecin",630,"30.06.2025","Betclic 2 Liga"
"36","Adrian Szczutowski",23,"Centre-Forward","Chrobry Glogow",21,"30.06.2025","Betclic 1 Liga"
"37","Adriano",22,"Attacking Midfield","Raków Częstochowa",444,"30.06.2028","PKO BP Ekstraklasa"
"38","Adriel Ba Loua",28,"Right Winger","Lech Poznan",303,"30.06.2025","PKO BP Ekstraklasa"
"39","Adrien Louveau",24,"Centre-Back","LKS Lodz",146,"-","Betclic 1 Liga"
"40","Afimico Pululu",25,"Centre-Forward","Jagiellonia Bialystok",766,"30.06.2025","PKO BP Ekstraklasa"
"41","Afonso Sousa",24,"Attacking Midfield","Lech Poznan",528,"30.06.2026","PKO BP Ekstraklasa"
"42","Ajdin Hasic",22,"Right Midfield","Cracovia",115,"30.06.2027","PKO BP Ekstraklasa"
"43","Alan Brod",20,"Attacking Midfield","GKS Katowice",0,"30.06.2026","PKO BP Ekstraklasa"
"44","Alan Czerwinski",31,"Right Midfield","GKS Katowice",150,"30.06.2027","PKO BP Ekstraklasa"
"45","Alan Rybak",17,"Centre-Forward","Jagiellonia Bialystok",10,"30.06.2026","PKO BP Ekstraklasa"
"46","Alan Siwek",17,"Centre-Forward","LKS Lodz II",316,"-","Betclic 2 Liga"
"48","Alan Siwek",17,"Centre-Forward","LKS Lodz",0,"-","Betclic 1 Liga"
"50","Alan Sukiennicki",18,"Central Midfield","Skra Czestochowa",90,"-","Betclic 2 Liga"
"51","Alan Uryga",30,"Centre-Back","Wisla Kraków",1139,"30.06.2026","Betclic 1 Liga"
